prompt
"playboy magazine portrait of an Asian model, alluring, teal swimsuit, black hair, brown eyes, playboy"
"playboy magazine portrait of a Caucasian male, handsome, dark trunks, blonde hair, blue eyes, playboy"
"playboy magazine portrait of an Afro-Caribbean woman, captivating, magenta lingerie, curly hair, amber eyes, playboy"
"playboy magazine portrait of a Middle-Eastern man, dashing, charcoal briefs, wavy hair, olive eyes, playboy"
"playboy magazine portrait of an Indigenous female, stunning, indigo bodysuit, feathered hair, hazel eyes, playboy"
"playboy magazine portrait of a mixed-race woman, captivating, lime green teddy, dreadlocked hair, purple eyes, playboy"
"playboy magazine portrait of a European man, rugged, emerald boxers, messy hair, gray eyes, playboy"
"playboy magazine portrait of a trans woman, exquisite, ruby corset, short hair, emerald eyes, playboy"
"playboy magazine portrait of an Oceania male, charming, teal Speedo, long hair, aqua eyes, playboy"
"playboy magazine portrait of a Latina, alluring, sapphire boyshorts, curly hair, amber eyes, playboy"
"playboy magazine portrait of a female of color, beautiful, periwinkle playsuit, afroed hair, golden eyes, playboy"
"playboy magazine portrait of a non-binary model, breathtaking, purple g-string, shaved head, violet eyes, playboy"
"playboy magazine portrait of a South-Asian woman, gorgeous, emerald saree, straight hair, chestnut eyes, playboy"
"playboy magazine portrait of a white male, striking, navy swim trunks, messy hair, blue-gray eyes, playboy"
"playboy magazine portrait of a Native-American man, impressive, lavender loin cloth, feathered hair, jade eyes, playboy"
"playboy magazine portrait of an Afro-Puerto Rican woman, dazzling, rose red teddy, curly hair, amber eyes, playboy"
"playboy magazine portrait of a Jewish female, enchanting, aquamarine halter, wavy hair, blue eyes, playboy"
"playboy magazine portrait of a mixed heritage man, handsome, silver lamé briefs, dreadlicked hair, aquamarine eyes, playboy"
"playboy magazine portrait of a Polynesian female, captivating, ruby red swimsuit, feathered hair, topaz eyes, playboy"
"playboy magazine portrait of a gender-fluid model, bewitching, violet lingerie, semi-shaved head, olive eyes, playboy"
